Year,Country,Construction,Healthcare Services,Chemicals,Machinery Manufacturing
2011,United Kingdom,263.1704482,230.9834135,55.13933338,52.6721542
2012,United Kingdom,282.0346362,236.5377667,47.18159244,50.05149801
2013,United Kingdom,283.7111616,245.6560781,48.43047809,51.54312044
2014,United Kingdom,323.6993595,266.8927944,44.76766596,51.19480392
2015,United Kingdom,387.252858,311.57492,46.54800585,53.68799728
2016,United Kingdom,343.206619,289.0201604,50.50139017,60.71897356
2017,United Kingdom,360.3038727,284.3962877,54.04210638,62.99801933
2018,United Kingdom,378.4752505,294.9735509,53.54664652,65.56462178
2019,United Kingdom,373.1409875,300.8483522,52.97313458,71.74586443
2020,United Kingdom,354.9158699,278.8128498,50.49424738,67.76140478
2021,United Kingdom,361.0155976,352.4508958,50.34340246,70.98808448
2022,United Kingdom,371.0840222,373.7439003,50.66424165,75.35985502
2023,United Kingdom,380.9420658,395.6328868,50.57262228,80.54725047
2024,United Kingdom,402.0270132,418.8173827,52.15634268,86.17234761
2025,United Kingdom,417.8679137,436.6600453,53.01262658,90.86833597
2026,United Kingdom,434.5959168,455.5145617,53.97316909,95.93405418
2027,United Kingdom,452.2609855,475.4393001,55.04252162,101.4018229
2028,United Kingdom,470.9335968,496.5145272,56.22793848,107.311151
2029,United Kingdom,490.6744331,518.8107372,57.53556382,113.7024694
2030,United Kingdom,511.5215134,542.3748582,58.96910216,120.6142946
2011,United States,1834.674952,1793.669969,644.4832311,394.0399223
2012,United States,1923.671278,1880.945037,637.7727961,428.1588138
2013,United States,2022.270795,1972.600424,620.8391299,435.7186686
2014,United States,2157.085427,2057.741876,606.0805567,447.9531437
2015,United States,2299.414174,2172.671974,546.1333688,451.818625
2016,United States,2418.647455,2286.472802,551.9910017,421.0877926
2017,United States,2555.264822,2387.702412,545.6987795,434.7536945
2018,United States,2705.214591,2504.876702,551.8497923,452.2050932
2019,United States,2876.462607,2646.196795,558.9545215,475.2033112
2020,United States,2821.008741,2339.70308,523.9779364,457.2835197
2021,United States,2950.555538,3006.369549,523.0981602,469.7634121
2022,United States,3105.42876,3135.85759,521.8302919,486.6547174
2023,United States,3270.211968,3269.870084,521.6237181,503.2412381
2024,United States,3446.957703,3409.823812,531.1882303,521.8041152
2025,United States,3643.108262,3562.353237,542.6588442,542.2500594
2026,United States,3856.171231,3724.007645,555.427806,564.0435936
2027,United States,4087.058819,3894.686647,569.4454684,587.1709124
2028,United States,4336.917242,4074.425358,584.690786,611.6414244
2029,United States,4607.093795,4263.348797,601.1618141,637.4803409
2030,United States,4899.120566,4461.643224,618.8698615,664.7240754
2011,China,893.0792012,199.443748,735.3447939,290.8077719
2012,China,1010.061994,230.883472,734.9771412,329.455298
2013,China,1142.402009,267.2839299,756.0627232,373.2753258
2014,China,1292.120069,309.4285456,772.8695318,422.9649344
2015,China,1461.503595,358.2245683,786.4169967,479.3157834
2016,China,1653.141867,414.7226583,848.6721777,543.2270311
2017,China,1869.965983,480.1395748,956.21093,615.7200275
2018,China,2115.294106,555.884454,984.4435543,697.9550299
2019,China,2279.744622,613.8568332,1035.823648,800.6464041
2020,China,2238.212264,581.8730446,916.866366,735.191844
2021,China,2409.247653,814.5973431,908.2392023,778.6737439
2022,China,2664.723345,922.5915447,905.4716899,865.7401087
2023,China,2943.637528,1043.621034,904.2354943,959.9089858
2024,China,3251.858729,1180.547445,924.6175528,1066.042549
2025,China,3565.151057,1325.539875,938.0537912,1175.071696
2026,China,3902.278202,1485.951765,950.3529481,1293.245624
2027,China,4264.386673,1663.117227,961.4788427,1421.112408
2028,China,4652.854812,1858.544067,971.4555432,1559.31154
2029,China,5069.235319,2073.905897,980.3369009,1708.557331
2030,China,5515.192152,2311.029588,988.1843158,1869.619891
2011,India,338.6113947,45.08812473,89.60244716,50.21657694
2012,India,370.3830139,49.54736218,102.2291865,55.52793882
2013,India,393.5262663,54.44894286,108.141863,54.60266327
2014,India,418.1140503,59.83686571,119.0119465,59.69991687
2015,India,399.4394969,65.75951702,117.2018014,64.82713096
2016,India,429.6089379,72.2701089,123.1460085,71.03083235
2017,India,463.1768134,79.42716169,124.6739301,78.52581986
2018,India,499.3910904,87.29503464,137.8578694,86.70632744
2019,India,554.8230091,99.45534631,146.5187725,92.82065146
2020,India,593.9319589,101.6379293,158.5159573,100.2942814
2021,India,655.7261211,135.7073655,158.3161417,112.2904987
2022,India,731.4359863,154.5472596,158.0783592,128.0581335
2023,India,816.945221,175.9690978,158.0448769,145.968534
2024,India,908.0709453,200.3643303,171.2973831,165.6409297
2025,India,982.2580848,221.9260489,180.5083369,182.9919468
2026,India,1061.543349,245.3316341,189.9958585,201.9648325
2027,India,1146.388625,270.7352362,199.7895985,222.7461163
2028,India,1237.337739,298.315169,209.9279135,245.5564752
2029,India,1334.889352,328.2447612,220.4348194,270.6295432
2030,India,1439.551698,360.704101,231.3305296,298.2248545
